"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Umum","Kelola Checklist","Kelola Checklist","/checklist-manage","List","—","#, No. Sales, Customer, Brand, Produk, Tanggal Mulai, Tanggal Selesai, Pembuat, Status, #","Search, GSTable1_length","[Detail Checklist] • Field: Customer, No. Sales, Brand, Produk, Periode, Status, Dibuat Oleh, Tanggal Dibuat • Tabel Detail: (#, Kategori, PIC, Lama Hari, Setelah, Status, Catatan, Terakhir Update) • Aksi Modal: Tutup","Riwayat, Tracking, Pending, Lihat, Ubah, Batalkan, Modal Tutup",""
"Operasional","Akuntansi","Jurnal Umum","/general-journal","List","—","#, Kode, Tanggal, Deksripsi, Debit, Kredit, Tipe, Referensi, Status, #","Periode: *","[Detail Jurnal Umum] • Field: Kode, Tanggal, Deskripsi, Referensi, Pembuat, Tipe, Status • Tabel Detail: (#, CoA, Deskripsi, Debit, Kredit) • Aksi Modal: Tutup","Buat, Aktif, Lihat, Print, Modal Tutup",""
"Operasional","Akuntansi","Buat Jurnal Umum","/general-journal/create","Form","—","—","Tanggal Jurnal * Tanggal jurnal umum, Deskripsi Jurnal * Deskripsi umum untuk jurnal ini, Chart of Account (CoA) * Pilih akun untuk jurnal, Deskripsi Entry * Deskripsi khusus untuk entry ini, Debit * Nilai debit (boleh 0), Kredit * Nilai kredit (boleh 0)","—","Tambah ke Keranjang, Kembali, Simpan Jurnal",""
"Operasional","Akuntansi","Kas Bank Masuk","/other-deposit","List","—","#, Kode, Tanggal, Deskripsi, Dari, Kas/Bank, Jumlah, Status, #","Periode: *","—","Buat",""
"Operasional","Akuntansi","Buat Kas Bank Masuk","/other-deposit/create","Form","—","—","Tanggal * Tanggal penerimaan, Kas/Bank * Akun penerimaan, Deskripsi * Keterangan penerimaan, Dari Nama pengirim (opsional), CoA Pendapatan * Akun pendapatan/pemasukan, Memo Keterangan item, Jumlah * Nominal yang diterima","—","Tambah ke Keranjang, Kembali, Simpan",""
"Operasional","Akuntansi","Kas Bank Keluar","/other-payment","List","—","#, Kode, Tanggal, Deskripsi, Kepada, No. Tagihan, Kas/Bank, Jumlah, Status, #","Periode: *","—","Buat",""
"Operasional","Akuntansi","Buat Kas Bank Keluar","/other-payment/create","Form","—","—","Tanggal * Tanggal pembayaran, Deskripsi * Deskripsi umum pembayaran, Kas/Bank * Pilih akun kas/bank untuk pembayaran, Kepada Nama penerima pembayaran (opsional), No. Tagihan Nomor tagihan/invoice (opsional), Chart of Account (CoA) * Pilih akun beban/biaya, Jumlah * Nilai pembayaran, Keterangan Entry Deskripsi khusus untuk entry ini (opsional)","—","Tambah ke Keranjang, Kembali, Simpan Kas Bank Keluar",""
"Operasional","Barang Keluar","Pengiriman Barang","/delivery-out","List","—","#, Kode, Tanggal, No. Sales, Tanggal Sales, Customer, Pembuat, Status, #","Search, GSTable1_length","[Detail Pengiriman] • Field: Kode Pengiriman, Tanggal Pengiriman, Kode Sales, Tanggal Sales, Catatan, Customer, Pengguna, Status • Tabel Detail: (#, Barang, Satuan, Qty Kirim) • Aksi Modal: Tutup","Riwayat, Buat, Pending, Lihat, Print, Batalkan, Modal Tutup",""
"Operasional","Barang Keluar","Buat Pengiriman Barang","/delivery-out/create","Form","—","#, Barang, Satuan, Qty Sales, Qty Tersedia, Qty Kirim","Tanggal, Sales, Catatan Catatan tambahan (opsional), Foto Upload foto pengiriman (opsional), Pilih file...","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Barang Keluar","Transfer Barang","/goods-transfer","List","—","#, Kode, Tanggal, Gudang Asal, Gudang Tujuan, Pembuat, Status, #","Periode: *","[Detail Transfer Barang] • Field: Kode Transfer, Status, Gudang Asal, Gudang Tujuan, Pembuat, Tanggal Transfer • Tabel Detail: (#, Gambar, Barang, Qty, Catatan) • Aksi Modal: Tutup","Buat, Aktif, Lihat, Print, Batalkan, Modal Tutup",""
"Operasional","Barang Keluar","Buat Transfer Barang","/goods-transfer/create","Form","—","—","Gudang Asal * Gudang asal barang akan dikirim, Gudang Tujuan * Gudang tujuan barang akan diterima, Tanggal Transfer * Tanggal transfer barang dilakukan, Catatan Catatan tambahan untuk transfer ini (opsional), Barang * Pilih barang yang akan ditransfer, Stok Tersedia di Gudang Asal Jumlah stok yang bisa ditransfer, Jumlah (Qty) * Masukkan jumlah barang yang akan ditransfer, Catatan Item Catatan khusus untuk barang ini (opsional)","—","Tambah ke Keranjang, Kembali, Simpan Transfer",""
"Operasional","Barang Keluar","Retur Pembelian","/purchase-return-out","List","—","#, Kode Retur, Tanggal Retur, Supplier, Gudang, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat",""
"Operasional","Barang Masuk","Pembelian Masuk","/purchase-in","List","—","#, Kode, Tanggal, Supplier, Gudang, Pembuat, Status, #","Search, GSTable1_length","Modal Detail via AJAX (ajaxDetail('542','modal-lg');)","Riwayat, Approved, Lihat, Print Warehouse, Terima Barang",""
"Operasional","Barang Masuk","Retur Penjualan","/sales-return-in","List","—","#, Kode Retur, Tanggal Retur, Pelanggan, Pembuat, Status, #","Search, GSTable1_length","—","Riwayat",""
"Operasional","Buku Tamu","Buku Tamu","/guest-book","List","TOTAL LEADS 0 Total Bulan Ini; FOLLOW UP AKTIVITAS 0 Task Selesai (0%); JUMLAH MEETING 0 Offline & Online (Periode Ini); CONVERSION RATE 0.00% Lead to Deal (Close Ratio)","#, Tanggal & Waktu, Nama Klien, Meeting & PIC, Kontak, Kota, Produk Diminati, MOQ, Target Market, Kategori, Aksi","Search, GSTable1_length","—","Riwayat, Buat",""
"Operasional","Buku Tamu","Buat Buku Tamu","/guest-book/create","Form","—","—","Nama Lengkap * Nama tamu atau PIC yang berkunjung, Perusahaan Nama perusahaan asal (opsional), Kontak (Telepon/WA) Nomor yang bisa dihubungi, Email Alamat email aktif, Provinsi Provinsi asal, Kota Kota asal, Alamat Lengkap Alamat detail tamu atau perusahaan, Tipe Kunjungan Status meeting klien, Bertemu Dengan Nama PIC internal, Tujuan Kunjungan Maksud dari kedatangan tamu, Produk Diminati Kategori/jenis produk (jika ada), MOQ Target Estimasi jumlah pesanan, Target Launching Waktu rilis yang diharapkan, Target Market Kalangan pengguna produk, Kategorisasi Status/jenis klien, Catatan Tambahan Informasi pelengkap lainnya","—","Kembali, Simpan Data",""
"Operasional","Client Lost","Client Lost","/client-lost","List","0 item; 0 klien","NO, BRAND & PRODUK, PELANGGAN, PIC BD, EST. VALUE DEAL, TGL SAMPLE, STATUS SAMPLE, STATUS LOST | NO, NAMA PELANGGAN, LIFETIME VALUE, TOTAL TRANSAKSI, TGL TERAKHIR ORDER, JEDA TIDAK ORDER, STATUS","Search","—","—",""
"Operasional","Client Produksi","Client Produksi","/client-production","List","0% SAMPLE → DEAL (0/0) CONVERSION RATE; 0 HARI SAMPLE → SALES AVG. CLOSING TIME; Rp 0 RATA-RATA PER SALES AVG. DEAL VALUE; 0 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search","—","—",""
"Operasional","Client RO","Client RO","/client-repeat-order","List","0 projek","#, Pelanggan, Brand/Produk, Sales Order, BusDev, Mulai, Berakhir, Deadline, Progress, Status Projek, Desain Logo Semua Pending Process Done, HKI Semua Pending Process Done, BPOM Merk Semua Pending Process Done, BPOM NA Semua Pending Process Done, MOU Semua Pending Process Done, Desain Kemasan Semua Pending Process Done, Approval Desain Semua Pending Process Done, Bahan Baku Semua Pending Process Done, Pelunasan Semua Pending Process Done, Mixing Semua Pending Process Done, Bahan Kemas Semua Pending Process Done, Filling Semua Pending Process Done, Label Semua Pending Process Done, Box Semua Pending Process Done, Packing Semua Pending Process Done, Delivery Semua Pending Process Done, #","Search","—","—",""
"Operasional","Client Sample","Client Sample","/client-sample","List","0 Sedang di R&D Sample Dalam Proses; Rp 0 Pipeline Aktif Rencana Omset; 0 App. Rate: 0.00% Sample Approved; 0.00% Sample → Deal Deal Rate; Rp 0 Dari Deal Pilot Total Omset; Total Tampil: 0 Proyek","No, Pelanggan / NPF, Info Leads, Catatan Progress, Rencana Deal, Pelacakan Sampel (Status & Revisi), Pelacakan HKI, Suggest, Negosiasi Deal, Status Akhir, Total Omset, Aksi, MOQ, Rencana Omset, Rev 1, Rev 2, Rev 3, Extra, Progress HKI, Revisi Logo, Kemasan, Desain, Nilai","Pipeline Deal (Rencana Omset), Realisasi Omset, MOQ, Status HKI, Status Revisi Logo/Desain, Upload Suggest Kemasan, Upload Suggest Desain, Upload Suggest Nilai, Negosiasi Deal","—","Simpan",""
"Operasional","Kebutuhan Barang","Kebutuhan Barang","/need-for-goods","List","—","#, Kode, Tanggal, Sales / Customer / Produk / Brand, Pembuat, Status, # | #, Nama Barang, Kebutuhan Qty, Stok, Selisih, Qty Order, Catatan, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga","Catatan, Qty Order","[Detail Kebutuhan Barang] • Field: Kode, Sales, Customer, Produk, Brand, Status, Tanggal, Pembuat, Diselesaikan oleh, Tanggal Penyelesaian • Tabel Detail: (#, Barang, Catatan, Qty, Stok, Selisih) • Aksi Modal: Process, Tutup","Riwayat, Buat, Process, Lihat, Ubah, Selesaikan, Hide, Modal Tutup",""
"Operasional","Kebutuhan Barang","Buat Kebutuhan Barang","/need-for-goods/create","Form","—","#, Kode Bahan, Nama Bahan, Konsentrasi (%), Qty Dibutuhkan","Sales Pilih sales order (opsional), Produk Pilih produk dari sales (opsional), Customer Info customer, Tanggal * Tanggal kebutuhan, Isi Netto (ml/gr) * Kapasitas produk, Qty Produksi (pcs) * Jumlah produksi, Catatan Keterangan (opsional), Qty Produk * Jumlah produk yang akan dibuat, Barang * Nama barang, Qty * Jumlah","—","Tambahkan ke Keranjang, Tambah ke Keranjang, Batal, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Leads","Leads","/leads","List","—","#, Tanggal Leads, Catatan, Total Qty Leads, Aksi","Search, GSTable1_length","—","Buat",""
"Operasional","Leads","Buat Leads","/leads/create","Form","—","Penerima Leads *, Qty Leads *, Aksi","Tanggal Leads *, Catatan","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
